"county","trap","sample_num","sample_date","mosq_count","temp"
"Norman","A",1,2017-05-15,130,48.4620103123642
"Norman","A",2,2017-05-22,137,49.1286769790308
"Norman","A",3,2017-05-29,141,49.7953436456975
"Norman","A",4,2017-06-05,163,50.4620103123642
"Norman","A",5,2017-06-12,174,51.1286769790308
"Norman","A",6,2017-06-19,166,51.7953436456975
"Norman","A",7,2017-06-26,188,52.4620103123642
"Norman","A",8,2017-07-03,193,53.1286769790308
"Norman","A",9,2017-07-10,222,53.7953436456975
"Norman","A",10,2017-07-17,228,54.4620103123642
"Norman","A",11,2017-07-24,227,55.1286769790308
"Norman","A",12,2017-07-31,232,55.7953436456975
"Norman","A",13,2017-08-07,250,56.4620103123642
"Norman","A",14,2017-08-14,249,57.1286769790308
"Norman","A",15,2017-08-21,277,57.7953436456975
"Norman","A",16,2017-08-28,298,58.4620103123642
"Norman","B",1,2017-05-15,130,48.4620103123642
"Norman","B",2,2017-05-22,NA,49.1286769790308
"Norman","B",3,2017-05-29,142,49.7953436456975
"Norman","B",4,2017-06-05,NA,50.4620103123642
"Norman","B",5,2017-06-12,179,51.1286769790308
"Norman","B",6,2017-06-19,196,51.7953436456975
"Norman","B",7,2017-06-26,189,52.4620103123642
"Norman","B",8,2017-07-03,202,53.1286769790308
"Norman","B",9,2017-07-10,209,53.7953436456975
"Norman","B",10,2017-07-17,NA,54.4620103123642
"Norman","B",11,2017-07-24,216,55.1286769790308
"Norman","B",12,2017-07-31,NA,55.7953436456975
"Norman","B",13,2017-08-07,252,56.4620103123642
"Norman","B",14,2017-08-14,244,57.1286769790308
"Norman","B",15,2017-08-21,270,57.7953436456975
"Norman","B",16,2017-08-28,280,58.4620103123642
"Norman","C",1,2017-05-15,131,48.4620103123642
"Norman","C",2,2017-05-22,159,49.1286769790308
"Norman","C",3,2017-05-29,141,49.7953436456975
"Norman","C",4,2017-06-05,NA,50.4620103123642
"Norman","C",5,2017-06-12,147,51.1286769790308
"Norman","C",6,2017-06-19,169,51.7953436456975
"Norman","C",7,2017-06-26,196,52.4620103123642
"Norman","C",8,2017-07-03,200,53.1286769790308
"Norman","C",9,2017-07-10,220,53.7953436456975
"Norman","C",10,2017-07-17,221,54.4620103123642
"Norman","C",11,2017-07-24,236,55.1286769790308
"Norman","C",12,2017-07-31,254,55.7953436456975
"Norman","C",13,2017-08-07,NA,56.4620103123642
"Norman","C",14,2017-08-14,265,57.1286769790308
"Norman","C",15,2017-08-21,278,57.7953436456975
"Norman","C",16,2017-08-28,270,58.4620103123642
"Norman","D",1,2017-05-15,144,48.4620103123642
"Norman","D",2,2017-05-22,148,49.1286769790308
"Norman","D",3,2017-05-29,155,49.7953436456975
"Norman","D",4,2017-06-05,155,50.4620103123642
"Norman","D",5,2017-06-12,160,51.1286769790308
"Norman","D",6,2017-06-19,175,51.7953436456975
"Norman","D",7,2017-06-26,NA,52.4620103123642
"Norman","D",8,2017-07-03,208,53.1286769790308
"Norman","D",9,2017-07-10,204,53.7953436456975
"Norman","D",10,2017-07-17,231,54.4620103123642
"Norman","D",11,2017-07-24,231,55.1286769790308
"Norman","D",12,2017-07-31,232,55.7953436456975
"Norman","D",13,2017-08-07,238,56.4620103123642
"Norman","D",14,2017-08-14,263,57.1286769790308
